id,listing_url,name,experiences_offered,host_id,host_name,host_since,host_location,host_about,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_neighbourhood,host_listings_count,host_total_listings_count,street,neighbourhood,neighbourhood_cleansed,neighbourhood_group_cleansed,city,state,zipcode,market,smart_location,country_code,country,latitude,longitude,is_location_exact,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,price,weekly_price,monthly_price,security_deposit,cleaning_fee,guests_included,extra_people
24240,https://www.airbnb.com/rooms/24240,"The Golden Slipper B&B Afloat, 2 bed/2 bath",none,97821,Gretchen,2010/3/23,"Scituate, Massachusetts, United States",Hello I am Gretchen and I´ll be more than happy to welcome you!,within a few hours,100%,N/A,t,North End,1,1,"Boston, MA, United States",North End,North End,,Boston,MA,2109,Boston,"Boston, MA",US,United States,42.36366,-71.05023,t,Boat,Entire home/apt,5,2,2,3,Real Bed,$275.00,"$1,700.00",,$0.00,$0.00,2,$60.00
27611,https://www.airbnb.com/rooms/27611,One Bedroom Studio Garden Apartment,none,119381,Gordon And Alexandra,2010/5/6,"Boston, Massachusetts, United States",,within a few hours,100%,N/A,f,Jamaica Plain,1,1,"Boston, MA, United States",Jamaica Plain,Jamaica Plain,,Boston,MA,2130,Boston,"Boston, MA",US,United States,42.31557,-71.11483,t,Apartment,Entire home/apt,2,1,1,1,Real Bed,$195.00,"$1,100.00","$3,500.00",$200.00,$60.00,2,$0.00
29765,https://www.airbnb.com/rooms/29765,"Luxury suite, Moroccan furnishings",none,128280,Elizabeth,2010/5/19,"Boston, Massachusetts, United States","Friendly art historian/designer. 

Born and raised in Asia, I love international design and traditional folk arts, which is why my spaces are eclectic, decorated in European, Pan-Asian, and Moroccan styles. One of the main reasons I like sharing my spaces is because, in this way, I am also sharing experiences and beauty I have encountered while traveling.",within an hour,100%,N/A,f,Charlestown,4,4,"Boston, MA, United States",Charlestown,Charlestown,,Boston,MA,2129,Boston,"Boston, MA",US,United States,42.37834,-71.06663,t,Apartment,Entire home/apt,2,1,1,1,Real Bed,$221.00,"$1,500.00","$3,900.00",$0.00,$25.00,2,$0.00
36885,https://www.airbnb.com/rooms/36885,A Cozy Corner of Boston,none,159160,Deborah,2010/7/6,"Boston, Massachusetts, United States","An enthusiast of all the creative arts, physics, yoga, meditation, and whole foods. I do interior and graphic design and love to travel and meet folks from all over the world. I love to write fiction and to blog when the spirit moves me. Music has a high place in my life. Although I am an italophile, I still want to see China, Australia, Bhutan, and to visit India again. Whenever possible I like to meet my guests in person but even when I can't I make sure they have everything they need and encourage them to contact me asap if something's missing. ",within an hour,100%,N/A,t,Fenway/Kenmore,1,1,"Boston, MA, United States",Fenway/Kenmore,Fenway,,Boston,MA,2215,Boston,"Boston, MA",US,United States,42.34633,-71.08832,t,Apartment,Entire home/apt,2,1,1,1,Real Bed,$165.00,,"$2,750.00",$0.00,$100.00,2,$0.00
40601,https://www.airbnb.com/rooms/40601,Private room & bath - Jamaica Plain,none,174986,Robert,2010/7/20,"Boston, Massachusetts, United States","Professional single male in commercial real estate.
Outside of work I like walking dog, working out and drawing.  Have hosted guests from all over the world since 2003.  I look forward to meeting many more.",within a day,100%,N/A,t,Jamaica Plain,1,1,"Boston, MA, United States",Jamaica Plain,Jamaica Plain,,Boston,MA,2130,Boston,"Boston, MA",US,United States,42.3151,-71.11108,t,House,Private room,2,1.5,1,1,Real Bed,$95.00,$600.00,"$1,600.00",,,1,$20.00
44205,https://www.airbnb.com/rooms/44205,Elegance at Salem Street Court,none,128280,Elizabeth,2010/5/19,"Boston, Massachusetts, United States","Friendly art historian/designer. 

Born and raised in Asia, I love international design and traditional folk arts, which is why my spaces are eclectic, decorated in European, Pan-Asian, and Moroccan styles. One of the main reasons I like sharing my spaces is because, in this way, I am also sharing experiences and beauty I have encountered while traveling.",within an hour,100%,N/A,f,Charlestown,4,4,"Boston, MA, United States",Charlestown,Charlestown,,Boston,MA,2129,Boston,"Boston, MA",US,United States,42.37655,-71.06677,f,Apartment,Entire home/apt,2,1,1,1,Real Bed,$184.00,"$1,300.00","$3,900.00",$0.00,$25.00,2,$0.00
45987,https://www.airbnb.com/rooms/45987,Gorgeous Garden Studio Charlestown,none,205107,Atef,2010/8/18,"Boston, Massachusetts, United States","I am homeowner and an entrepreneur.  
I love my house where you will be staying and treat my guests as my family and friends.  I am also a traveler and did my share of traveling.  My favorite cities I visited is Paris, Barcelona, and  Alexandria, Egypt.
I love to exercise: tennis, cycling and weight lifting.
I also enjoy working with my hands: gardening, building furniture, and fixing my bicycles.

",within an hour,100%,N/A,f,Charlestown,1,1,"Charlestown, MA, United States",Charlestown,Charlestown,,Charlestown,MA,2129,Boston,"Charlestown, MA",US,United States,42.37404,-71.06118,t,Apartment,Entire home/apt,3,1,1,1,Real Bed,$125.00,,,,$100.00,1,$50.00
47521,https://www.airbnb.com/rooms/47521,Beautiful Victorian House /A,none,119019,Hermina,2010/5/5,"Boston, Massachusetts, United States","Originally from Armenia, I live in Boston for many years. My house is one of many beautiful Victorian houses in oldest neighborhoods in Boston (Dorchester).  The house is beautiful, big, clean and colors are my addition to its charm. I love colors you can see it in the pictures. 
I love the idea of B&B and now I have chance to host people from the world in my own house. Traveling is part of my life and staying with family opens chance to meet local people.
I share what I know about Boston with pleasure and sometimes I learn from travelers what they discovered in Boston.
",within a few hours,100%,N/A,f,Dorchester,10,10,"Dorchester, MA, United States",Dorchester,Dorchester,,Dorchester,MA,2122,Boston,"Dorchester, MA",US,United States,42.29772,-71.05924,t,House,Private room,2,1.5,1,3,Real Bed,$50.00,,,$100.00,$35.00,1,$20.00
57156,https://www.airbnb.com/rooms/57156,3 Room Cottage in Boston,none,271947,Bill,2010/10/26,"Boston, Massachusetts, United States","I'm a community activist in Boston.  I'm active in civics with a focus on public health, historic preservation and the environment.  I'm friendly, outgoing and enjoy the adventures of life.  I'm a family man who enjoys spending time with my children and grandchildren. I enjoy biking and have done a fair amount of international travel. I was involved in peace processes in Northern Ireland and in the Balkans, and have done post-apartheid work in South Africa.  I am the founder of a community health center and co-founded two schools and currently work as CEO of a primary care clinic in Boston.",N/A,N/A,N/A,t,Dorchester,1,1,"Boston, MA, United States",Dorchester,Dorchester,,Boston,MA,2125,Boston,"Boston, MA",US,United States,42.31004,-71.04942,t,Guesthouse,Entire home/apt,2,1,1,1,Real Bed,$105.00,,,,,1,$0.00
60029,https://www.airbnb.com/rooms/60029,Room in geographical heart of Hub,none,255183,Michelle,2010/10/6,"Boston, Massachusetts, United States","A native Bostonian, I can fill you in on the city's history and what's happening now - or not - depending on what you need and want while you're here.  Come visit!",within a few hours,100%,N/A,t,Roxbury,5,5,"Boston, MA, United States",Roxbury,Roxbury,,Boston,MA,2119,Boston,"Boston, MA",US,United States,42.32584,-71.08927,t,House,Private room,2,1,1,1,Real Bed,$75.00,,,$0.00,$0.00,1,$35.00
60356,https://www.airbnb.com/rooms/60356,Bookcase 1bd facing Boston Common,none,26988,Anne,2009/7/22,"Boston, Massachusetts, United States","I manage a number of furnished units around Boston and Brookline with my business partner Joseph Morrissey.  I am a Realtor with Unlimited Sotheby's  and do sales/rentals in the greater Boston market.  I also manage a sculpture school/studio with my husband, sculptor Morris Norvin.  Stonybrook Fine Arts, is located in the Boston neighborhood Jamaica Plain across the street from the famous Sam Adams Brewery.  We offer a variety of one day workshops on our calendar including welding, jewelry and metal casting.   Longer classes are available and meet one time each week including the options above as well as mold making, live figure modeling and foundry.  Custom workshops are available for small groups, birthday parties, bachelorette parties, make your own wedding bands, create an engagement ring and team building.  We are happy to arrange a tour of Sam Adams after a daytime workshop not occurring on Sunday.  Contact us for more details to set up your custom event!

",within a day,100%,N/A,f,Beacon Hill,12,12,"Boston, MA, United States",Beacon Hill,Downtown,,Boston,MA,2108,Boston,"Boston, MA",US,United States,42.35712,-71.0618,t,Apartment,Entire home/apt,2,1,1,1,Real Bed,$175.00,"$1,200.00","$2,900.00","$1,000.00",$250.00,1,$0.00
66288,https://www.airbnb.com/rooms/66288,Architects Live-in Studio in Boston,none,324630,Sean,2010/12/21,"Boston, Massachusetts, United States","I have been hosting people from all over the world through Airbnb for more than three years now and have really enjoyed the experience. Chatting with guests upon check in lets me not only tell them what a great city Boston is and how much it has to offer but to also listen to stories of where they live or have been to. That's what makes Airbnb such a great community builder in my mind - connecting people from all parts and walks of life. 
Just like all of the travelers that I've hosted, I am a traveler myself - having been to a number of countries in Central Asia, Europe, and lived for a time in Micronesia. Each time I travel, I make sure to find a local connection to tell me about places off the beaten path that a tourist guide might miss, and if all else fails - I just enjoy seeing where my feet (or a local bus/train/subway) take me. So if you're looking for the best Ethiopian food in Boston or a little known museum (a whole room of the most realistic glass flowers hand blown in the 19th century), I can definitely point you in the right direction. 
Speaking of directions, I bike a LOT around town and would be happy to provide a bike when you stay at either of my places. Boston may have a great (oldest in North America) subway system, but sometimes it's just nice to get on a bike and see where the next street takes you!
What keeps me not only travelling on Airbnb but also hosting are the notes that I frequently get, letting me know what a great time someone had or how much they enjoyed visiting a part of city I mentioned to them. These notes always put a smile on my face and leave me knowing that I have made someone's visit memorable!",within an hour,100%,N/A,f,Mission Hill,1,1,"Boston, MA, United States",Mission Hill,Mission Hill,,Boston,MA,2120,Boston,"Boston, MA",US,United States,42.33215,-71.10674,t,Apartment,Entire home/apt,2,1,0,1,Real Bed,$79.00,$490.00,"$1,800.00",,,1,$0.00
67774,https://www.airbnb.com/rooms/67774,Corner 1 bed facing Golden Dome,none,26988,Anne,2009/7/22,"Boston, Massachusetts, United States","I manage a number of furnished units around Boston and Brookline with my business partner Joseph Morrissey.  I am a Realtor with Unlimited Sotheby's  and do sales/rentals in the greater Boston market.  I also manage a sculpture school/studio with my husband, sculptor Morris Norvin.  Stonybrook Fine Arts, is located in the Boston neighborhood Jamaica Plain across the street from the famous Sam Adams Brewery.  We offer a variety of one day workshops on our calendar including welding, jewelry and metal casting.   Longer classes are available and meet one time each week including the options above as well as mold making, live figure modeling and foundry.  Custom workshops are available for small groups, birthday parties, bachelorette parties, make your own wedding bands, create an engagement ring and team building.  We are happy to arrange a tour of Sam Adams after a daytime workshop not occurring on Sunday.  Contact us for more details to set up your custom event!

",within a day,100%,N/A,f,Beacon Hill,12,12,"Boston, MA, United States",Beacon Hill,Beacon Hill,,Boston,MA,2108,Boston,"Boston, MA",US,United States,42.35867,-71.06332,t,Condominium,Entire home/apt,3,1,1,1,Real Bed,$110.00,"$1,300.00","$2,975.00","$1,000.00",$250.00,1,$0.00
69369,https://www.airbnb.com/rooms/69369,Room in Boston off the beaten path,none,255183,Michelle,2010/10/6,"Boston, Massachusetts, United States","A native Bostonian, I can fill you in on the city's history and what's happening now - or not - depending on what you need and want while you're here.  Come visit!",within a few hours,100%,N/A,t,Roxbury,5,5,"Boston, MA, United States",Roxbury,Roxbury,,Boston,MA,2119,Boston,"Boston, MA",US,United States,42.32614,-71.0884,t,House,Private room,2,1,1,1,Real Bed,$79.00,,,$0.00,$0.00,1,$38.00
77681,https://www.airbnb.com/rooms/77681,Waterfall Room: Bunker Hill B&B,none,416912,Christiane,2011/3/1,"Boston, Massachusetts, United States","Christiane Wolff, the owner and hostess, is a former German teacher and former Army, Navy and US Coast Guard Reservist, who likes to offer weary travelers the same kindness and comforts that she received during her many travels.",within a few hours,100%,N/A,f,Charlestown,1,1,"Boston, MA, United States",Charlestown,Charlestown,,Boston,MA,2129,Boston,"Boston, MA",US,United States,42.37853,-71.06177,t,Bed and breakfast,Private room,2,1,1,1,Real Bed,$140.00,,,,,1,$0.00
77691,https://www.airbnb.com/rooms/77691,Beautiful Victorian House /Room B,none,119019,Hermina,2010/5/5,"Boston, Massachusetts, United States","Originally from Armenia, I live in Boston for many years. My house is one of many beautiful Victorian houses in oldest neighborhoods in Boston (Dorchester).  The house is beautiful, big, clean and colors are my addition to its charm. I love colors you can see it in the pictures. 
I love the idea of B&B and now I have chance to host people from the world in my own house. Traveling is part of my life and staying with family opens chance to meet local people.
I share what I know about Boston with pleasure and sometimes I learn from travelers what they discovered in Boston.
",within a few hours,100%,N/A,f,Dorchester,10,10,"Boston, MA, United States",Dorchester,Dorchester,,Boston,MA,2122,Boston,"Boston, MA",US,United States,42.29771,-71.05979,t,House,Private room,3,1.5,1,1,Real Bed,$65.00,,,$100.00,$35.00,1,$15.00
91588,https://www.airbnb.com/rooms/91588,Sunny Private Bedroom. 7 minute walk to Redline T.,none,494453,Dave,2011/4/8,"Boston, Massachusetts, United States",Easy going gay friendly male.,within an hour,100%,N/A,t,Dorchester,3,3,"Boston, MA, United States",Dorchester,Dorchester,,Boston,MA,2125,Boston,"Boston, MA",US,United States,42.31358,-71.04697,t,Condominium,Private room,2,1,1,1,Real Bed,$68.00,$500.00,,$100.00,$25.00,1,$29.00
95453,https://www.airbnb.com/rooms/95453,Royal Street Studio: Allston,none,508268,Richard,2011/4/14,"Boston, Massachusetts, United States","Your hosts, Richard and Victoria, are a 44-year-old married couple who specialize in providing top quality housing all over Boston.  We only accept first class, five star ratings and guarantee everything is up to snuff.",within a few hours,100%,N/A,t,Allston-Brighton,1,1,"Boston, MA, United States",Allston-Brighton,Allston,,Boston,MA,2134,Boston,"Boston, MA",US,United States,42.35937,-71.13156,t,Apartment,Entire home/apt,2,1,0,1,Real Bed,$175.00,$990.00,"$3,450.00",,,2,$25.00
118905,https://www.airbnb.com/rooms/118905,Lotus (Luxury apartment),none,434539,Brahma,2011/3/10,"Boston, Massachusetts, United States","Yoga teacher, vegan, green minded nature lover, artisan.

Welcome,
In the mid 70’s at seventeen after high school my father gave me a
ticket to Europe to pursue a spiritual quest, after a long journey I joined a group of european Indian monks/ sadhus’s in Switzerland.. taking a spiritual initiation from swami Srila Prabhupada that lead to a trip overland to India.

Since then.. teaching yoga, a vegetarian/ vegan diet, spirit centered art, music and philosophy have been my life core. 

I started Herbivorian House in 2004 with the idea of having an artsy alternate resting place, in the hope of attracting somewhat like minded eco friendly people, though we are open to and graciously welcome all.",N/A,N/A,N/A,f,East Boston,2,2,"Boston, MA, United States",East Boston,East Boston,,Boston,MA,2128,Boston,"Boston, MA",US,United States,42.37933,-71.03376,t,Apartment,Entire home/apt,2,1,2,2,Real Bed,$325.00,"$1,800.00","$4,200.00",$250.00,$150.00,4,$25.00
164418,https://www.airbnb.com/rooms/164418,Comfortable room in quiet area of Boston,none,784237,Carlos,2011/7/6,"Boston, Massachusetts, United States","I grew up visiting family in other countries during the summer and we would stay with various relatives in their spare rooms. In college, I visited friends in other schools or from other states and stayed with their families. I enjoy both traveling and helping others make the most of their travels. I'm comfortable with different languages and cultures and welcome the opportunity to meet people from throughout the US and beyond.
I am completing an RN nursing program after teach high school physics for many years. I enjoy reading philosophy and fantasy fiction. I also enjoy yoga, massage, swimming, camping, gardening and DIY. I have a wide range of musical interests and get interesting combinations, like Puccini and Rammstein, when listening to my library on shuffle.
If you have any questions, please ask.",a few days or more,0%,N/A,f,West Roxbury,1,1,"Boston, MA, United States",West Roxbury,West Roxbury,,Boston,MA,2132,Boston,"Boston, MA",US,United States,42.29512,-71.14877,t,House,Private room,1,1,1,1,Futon,$65.00,$500.00,,$0.00,$0.00,1,$10.00
169430,https://www.airbnb.com/rooms/169430,Stylish + Comfortable Urban Victorian,none,807320,Kate,2011/7/11,"Boston, Massachusetts, United States","Artist, mom, yogi, runner, lover of local food and international travel. I am house-proud and love my neighborhood and city, and enjoy hosting guests and meeting people from all over the world.",within a few hours,100%,N/A,t,Roxbury,1,1,"Boston, MA, United States",Roxbury,Roxbury,,Boston,MA,2119,Boston,"Boston, MA",US,United States,42.32158,-71.09047,t,Apartment,Entire home/apt,10,2,4,5,Real Bed,$200.00,,,$500.00,$80.00,2,$25.00
177129,https://www.airbnb.com/rooms/177129,Comfort in Historic Melville Park 1,none,847253,Susan,2011/7/21,"Boston, Massachusetts, United States","Hello,

Hospitality is my life, and that is proven in my extensive career in the hotel business,  as CEO of a private dining and events management  firm and currently as an executive trainer and consultant in the field of American business etiquette and international protocol.

I have traveled the world and have a great respect for varied cultures, cuisines and global events. I will make sure your visit to Boston is comfortable and enjoyable.",within an hour,100%,N/A,f,Dorchester,3,3,"Boston, MA, United States",Dorchester,Dorchester,,Boston,MA,2124,Boston,"Boston, MA",US,United States,42.29343,-71.06773,t,House,Private room,3,1.5,1,1,Real Bed,$81.00,,"$1,400.00",$100.00,$60.00,1,$25.00
179244,https://www.airbnb.com/rooms/179244,Room in Beautiful Townhouse /G,none,119019,Hermina,2010/5/5,"Boston, Massachusetts, United States","Originally from Armenia, I live in Boston for many years. My house is one of many beautiful Victorian houses in oldest neighborhoods in Boston (Dorchester).  The house is beautiful, big, clean and colors are my addition to its charm. I love colors you can see it in the pictures. 
I love the idea of B&B and now I have chance to host people from the world in my own house. Traveling is part of my life and staying with family opens chance to meet local people.
I share what I know about Boston with pleasure and sometimes I learn from travelers what they discovered in Boston.
",within a few hours,100%,N/A,f,Dorchester,10,10,"Boston, MA, United States",Dorchester,Dorchester,,Boston,MA,2122,Boston,"Boston, MA",US,United States,42.2978,-71.05893,t,House,Private room,2,1,1,1,Real Bed,$75.00,,,$100.00,$80.00,1,$20.00
179245,https://www.airbnb.com/rooms/179245,Room in Beautiful Townhouse /F,none,119019,Hermina,2010/5/5,"Boston, Massachusetts, United States","Originally from Armenia, I live in Boston for many years. My house is one of many beautiful Victorian houses in oldest neighborhoods in Boston (Dorchester).  The house is beautiful, big, clean and colors are my addition to its charm. I love colors you can see it in the pictures. 
I love the idea of B&B and now I have chance to host people from the world in my own house. Traveling is part of my life and staying with family opens chance to meet local people.
I share what I know about Boston with pleasure and sometimes I learn from travelers what they discovered in Boston.
",within a few hours,100%,N/A,f,Dorchester,10,10,"Boston, MA, United States",Dorchester,Dorchester,,Boston,MA,2122,Boston,"Boston, MA",US,United States,42.29915,-71.05879,t,House,Private room,2,2,2,1,Real Bed,$65.00,,,$100.00,$25.00,1,$15.00
182049,https://www.airbnb.com/rooms/182049,Herbivorian House SkyRama ,none,434539,Brahma,2011/3/10,"Boston, Massachusetts, United States","Yoga teacher, vegan, green minded nature lover, artisan.

Welcome,
In the mid 70’s at seventeen after high school my father gave me a
ticket to Europe to pursue a spiritual quest, after a long journey I joined a group of european Indian monks/ sadhus’s in Switzerland.. taking a spiritual initiation from swami Srila Prabhupada that lead to a trip overland to India.

Since then.. teaching yoga, a vegetarian/ vegan diet, spirit centered art, music and philosophy have been my life core. 

I started Herbivorian House in 2004 with the idea of having an artsy alternate resting place, in the hope of attracting somewhat like minded eco friendly people, though we are open to and graciously welcome all.",N/A,N/A,N/A,f,East Boston,2,2,"Boston, MA, United States",East Boston,East Boston,,Boston,MA,2128,Boston,"Boston, MA",US,United States,42.3798,-71.03325,t,Apartment,Entire home/apt,4,1,2,2,Real Bed,$300.00,"$1,600.00","$4,680.00",$0.00,$100.00,4,$30.00
182613,https://www.airbnb.com/rooms/182613,Entire 2 BR! Clean condo 3 beds Charlestown Boston,none,875739,Max,2011/7/26,United States,"I have been living in New England since 1998 and I am originally from Paris, France. I am a technology and strategy advisor to large companies and am a partner at Harmeda, a strategy consulting firm.",within an hour,100%,N/A,t,Charlestown,1,1,"Boston, MA, United States",Charlestown,Charlestown,,Boston,MA,2129,Boston,"Boston, MA",US,United States,42.37739,-71.06044,t,Apartment,Entire home/apt,6,1,2,4,Real Bed,$169.00,"$1,230.00","$4,900.00",,$150.00,4,$25.00
190170,https://www.airbnb.com/rooms/190170,In-Law Suite w/Room to Spare :-),none,841314,Fanny & Candice,2011/7/19,"Boston, Massachusetts, United States","Daughter, Baby and Me make three!
I enjoy traveling and have been to so many places and seen so many faces. My new joy in life is my grandson that lives with me along with my daughter. Although I have not been doing it long I found a new passion for Yoga, just enough time for me to reset my mind. Besides yoga and traveling I also enjoy spending time with my grand-son and grand-daughter, who are only 4 months apart.
I look forward to meeting many more people from around the world. I look forward to continue hosting and meeting many more people.",within a day,86%,N/A,f,Dorchester,1,1,"Boston, MA, United States",Dorchester,Dorchester,,Boston,MA,2125,Boston,"Boston, MA",US,United States,42.31039,-71.06907,t,Guest suite,Entire home/apt,4,1,2,1,Real Bed,$55.00,$420.00,"$1,430.00",$500.00,$100.00,4,$50.00
