Year,Event type,Details
2016,Product,"Airbnb launches their ""Friendly Buildings Program"", which lets landlords and homeowners associations collaborate with Airbnb to create hosting rules, update leases and agreements to allow home-sharing, and to share portions of their tenants' reservation income."
2016,Competition,"Two Airbnb rivals, Wimdu and 9flats, consolidate in a merger."
2016,Legal,"Airbnb sues New York City over a new legislation that would make it illegal for Airbnb to display housing units that cannot be rented legally, and would also allow fines of up to $7,500 on hosts who rent out housing illegally. In its suit, Airbnb argues that the liability for rental listings belongs to the hosts who post them."
2016,Product,"Airbnb launches the ""experiences"" feature in the Airbnb app. This feature allows hosts to offer tours and events in addition to places to stay."
2016,Legal,Airbnb settles the lawsuit it filed against New York City. Airbnb agrees to drop the suit as long as the city fines only the hosts and not Airbnb.
2017,,"Brian Chesky, CEO of Airbnb, tweets that the company will give free housing to refugees and any others not allowed into the United States as a result of President Trump's executive order to temporarily ban refugees from the United States."
2017,Acquisition,"Airbnb acquires Luxury Retreats, an Airbnb-like service for high-end homes and premium vacation homes. The deal is reported to be $200–$300 million. As of the time of the deal, it is Airbnb's largest acquisition."
2017,Acquisition,"Airbnb acquires Tilt, a social payment startup."
2017,Acquisition,"Airbnb acquires AdBasis, advertising technology platform built for A/B testing and Multivariate ad testing."
2017,Acquisition,"Airbnb acquires Accomable, a startup focused on travel accessibility."
2017,Product,Airbnb began allowing users to split payments with up to 16 other travelers.
2017,Product,"Following a cash infusion from Brookfield Property Partners, Airbnb announces their ""Niido"" line of apartment buildings designed for tenants to rent out their units for up to 180 days per year on Airbnb, in conjunction with their landlords. Two Niido properties opened the following year in Nashville, Tennessee and Kissimmee, Florida."
2018,Product,Brian Chesky revealed the company's intention to launch an airline.
2018,Product,"Airbnb announced Airbnb Plus, a collection of homes that have been vetted for quality of services, comfort and design, as well as Beyond by Airbnb, which will offer luxury vacation rentals."
2019,Acquisition,"Airbnb acquires Gaest, an Aarhus, Denmark-based startup, which provides a platform for posting and booking venues for meetings and other events."
2019,Acquisition,"Airbnb acquires HotelTonight, a website for booking last-minute hotel rooms, for over $400 million."
2019,Product,"Airbnb announces their ""Natiivo"" line of condo hotels, which feature amenities such as 24-hour concierge, valet parking, co-working spaces, and other amenities. The first two Natiivo locations are planned for Austin, Texas and Miami, Florida."
